_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
,,,03 9939 3886,,"Shop G37 Centro Box Hill North Market Street, Box Hill VIC 3128",Beauty & Skin,8827,贵族医学美容,03 9939 3886,"<p class=""details""><img src=""Photo_links/Melbourne/8827.jpg"" class=""logo"" width=""105"" alt=""贵族医学美容 Company Logo"">贵族医学美容是一家专业专注的美容机构。他们力求以最专业的技术为顾客打造美丽人生，所以与服务相关的每一个方面都全力做到最好，让您体验到完美的美容服务。<br>
贵族医学美容提供专业的微整形注射，操作医生经过了专业的注射培训，拥有十八年的从业经验，手术精准，效果完美。最新推出的韩国白瓷娃娃项目是世界最新技术，对于均匀肤色和收缩毛孔有立竿见影的效果。塑体方面，韩国热能磁极溶脂是目前领先业内的专业减肥项目，同时贵族医学美容推出的美胸提升护理对丰胸塑形有非常神奇的效果，可以提升胸部尺寸，使其丰满有弹性，并且塑造出更加优美的形状。<br>
贵族美容所提供的仪器力求最新，最好，最安全。同时，配合仪器所使用的美容产品也都由欧洲原装进口。这意味着所有的美容产品都经受了全世界最为严格的检测，因为欧洲地区的美容产品检测执行着全世界最为严格的标准。<br>
光临贵族医学美容，将会是非常愉悦轻松的体验。除了对环境及卫生讲究极致，每一位顾客的需要更是贵族医学美容孜孜不倦的追求。他们主张为顾客提出专业的美容意见，针对不同的需求量身定做美容美体计划，并且不以推销产品为目的，让您消费得放心，满意。并且，他们友善的服务态度和热情开朗的性格会让您在一个友好温馨的氛围里得到高质量的休息。<br>
贵族美容的全体员工欢迎您的光临，他们将努力为您打造一个轻松舒适的美容美体之行，让您在追求美丽的同时，享受一次全身心的放松。<br>
营业时间：Mon-Wed 9:00-18:30,Thur-Sat 9:00-19:30, Sun 10:00-18:30<br><br></p>"
,,,0488 894 999,http://www.narukoaustralia.com.au,"Melbourne, VIC 3000",Beauty & Skin,8809,Naruko Australia – Dr.Douxi,0488 894 999,"<p class=""details"">熟悉《美丽俏佳人》和《女人我最大》的MM们你们懂的！来自台湾的著名品牌，具有神奇功效的护肤品，纯天然的材质适合所有肌肤。现在不用再去代购啦！全系列明星产品一网打尽，轻松买到价格便宜的牛尔。<br>
 <br>
     明星产品修护奇迹水仙DNA系列，抗老紧致白玉兰系列，淡斑抚纹苹果籽传明酸系列，源头净白红薏仁超临界系列，粉刺调理茶树抗痘系列，高效保湿森玫瑰系列，双重抗老鲁冰花系列等等，所有产品一应俱全。更有多种搭配特价，如面膜组合，保湿亮白精华组合等等，切合您的需要而设计！<br>
 <br>
     最新推出的蜗牛系列更是采用了当下最流行的蜗牛精华，保湿修复，是牛尔的高端组合，物美价廉，选择多多，优惠多多哦！<br>
 <br>
     七秒卖一瓶的七秒卖一瓶的销售奇迹, 牛尔亲研澳洲Naruko授权代理商:  www.narukoaustralia.com.au <br>
营业时间：Customer Service: Monday to Friday - 9AM to 5PM; 24Hours for Online Shopping<br><br></p>"
Judy zhong,judy.zh815@gmail.com,374752098,0406600166,,"53 yerrin st, Balwyn, VIC 3103",Beauty & Skin,8982,Judy纹绣工作室,0406600166,"<p class=""details"">墨尔本顶级纹绣师<br>
最先进的纹绣技术设备，提供最专业的纹绣服务<br>
超过20年的专业纹绣经验，曾荣获10大美容名声称号<br>
多次担任大赛评委，评判长<br>
现任美国BENIFIT澳洲公司 BROW EXPERT ( 眉毛专家）职位<br>
<br>
服务项目：绣眉，三维立体飘眉，韩式眉，半永久性内眼线            纹眼线  水晶漂唇，纹唇线<br><br></p>"
,info@beautycontainer.com,BeautyContainer,0449612824,https://www.facebook.com/BeautyContainer/,"Melbourne, VIC 3000",Beauty & Skin,9870,Beauty Container,0449612824,"<p class=""details"">本公司專職代理銷售日韓彩妝保養品 (非代購)100%正品,<br>
品質保證非水貨所有商品皆由日韓原廠直接入口至墨爾本,<br>
貨源穩定並與當地同步連線<br>
讓您可以最合理的價格得到最新最火紅的商品<br>
<br>
目前開放批發品牌：<br>
It's me／SNP／Mediheal美迪惠爾／Maxclinic<br>
Aprilskin／Kumano日本馬油／Lashtoc／Dajuja<br>
Tinaroll／Papa recipe韓國春雨／A'PIEU<br>
Diva／Dashing diva／Magic etc..<br>
<br>
<br>
歡迎有興趣或是對其他日韓彩妝保養品有興趣的小伙伴們詢問！<br>
微信號:beautycontainer<br><br></p>"
jin,happy.4.you@hotmail.com,15010830744,,,"Gaffneys Creek, VIC 3723",Beauty & Skin,9845,beijng massage outcall,,"<p class=""details""><img src=""Photo_links/Melbourne/9845.JPG"" class=""logo"" width=""105"" alt=""beijng massage outcall Company Logo"">Beijing Outcall Massage is a special service offering by magical touch Massage which is very trustworthy body tantric<br>
<br>
(sensual) oil<br>
<br>
body Massage. Apparently, Massage is good for health your mentality and body. If you live in Beijing or you are planning<br>
<br>
to visit Beijing, I would like to refresh you up by massaging. Your mussels, circulatory system, lymphatic system and your<br>
<br>
body will be completely relieved. For those who are inconvenient to come to wuhan Massage, you can use ‘Beijing Outcall<br>
<br>
Massage,’ a service serving you right at home or at any location wherever your call (this service is available for<br>
<br>
customers who are in Beijing area only).<br>
Outcall Massage is offering a 24 hours service including great manner and skills from my specialist. You can be assured<br>
<br>
that you will definitely take excellent service. Additionally, 'Beijing Outcall Massage’ and inform that you know from For <br>
<br>
more<br>
<br>
information, please call 0086 15010830744 Jin.or happy.4.you@hotmail.com<br>
<br>
http://massageinbeijing19.blogspot.co.uk/<br>
<br>
Beijing happyhour massage500RMB/HR<br>
<br>
<br>
Thank you and I hope to serve my best to you soon.<br><br></p>"
,,,0433 476 762,,"Shop 48, 335 Bourke Street, Melbourne VIC 3000",Beauty & Skin,8833,1962 Skin Beauty,0433 476 762,"<p class=""details""><img src=""Photo_links/Melbourne/8833.jpg"" class=""logo"" width=""105"" alt=""1962 Skin Beauty Company Logo"">1962 Skin Beauty 是一间多元化韩国美肤美妆会馆。店主曾在2013年在新浪微博以“-Yukirin-粉黛衣香”从事韩国代购，在保证产品质量的同时，以价格便宜，服务周到，品牌多样等优势迅速成为澳洲韩国代购圈的新秀，赢得了上万了粉丝和众多爱美MM的喜爱。<br>
1962 Skin Beauty所有产品品均从韩国各大化妆品集团原厂出货，在如今假货横行的时代，店主以法律为枷锁用实体店的方式向各位韩妆爱好者提供最具品质的保证。这家店沿用微营销时期的“走路去韩国”服务方式，致力于以韩国专柜价为基准线的全产品定价让韩妆粉丝即使身在澳洲也能享受仿佛亲临韩国的购物体验，打破了“实体必须比网购贵”的魔咒。同时，韩国专柜所流行的品牌在店里一应俱全，真实地体验到韩国最前沿的美妆护肤产品。近年来大热的3CE, O HUI, 后，Innisfree, Leaders Clinic面膜，It’s Skin蜗牛系列等店内均有销售，还有各种礼盒套装，包装精美，非常划算。他们保证正品的同时也仍然承袭之前网络销售的薄利，让客人们可以享受低廉的价格。<br>
店主坚信韩妆相比于欧美日大牌更适合亚洲女性，客人可以在会馆内免费体验韩妆，并通过店主的专业讲解选择最适合自己的产品。店内舒适优雅的环境和超大的镜子会让您流连忘返，轻松愉悦地慢慢选择。1962 Skin Beauty实现了电子商务与实体商务的完美融合，其最大的愿望是用韩妆的魔力将每一位客人打造成独具一格的“女神”。<br>
营业时间：11:30am-5pm<br><br></p>"
,,,02 9415 1927,,"SUITE 3, LEVEL 1, 376 VICTORIA AVE., CHATSWOOD NSW 2067",Beauty & Skin,3342,PRAISE美容美體中心 PRAISE BEAUTY & SLIMMING CENTRE,02 9415 1927,"<p class=""details""><br><br></p>"
,,,02 9415 2899,,"SHOP 8 LEMON GROVE SHOPPING CENTRE, 431 VICTORIA AVENUE, CHATSWOOD",Beauty & Skin,3340,康平護膚美容中心 HEALTHPAC SKINCARE & BEAUTY CENTRE,02 9415 2899,"<p class=""details""><br><br></p>"
,,,03 9429 0008,http://www.ceragem.com.au,"Melbourne, VIC 3000",Beauty & Skin,6353,喜乐健,03 9429 0008,"<p class=""details"">远红外线健康床垫<br>
通过澳洲检验安全标准<br>
省电及健康<br>
每天使用十小时为准，电费3元/月<br>
帮助睡眠消除疲劳<br>
促进血液循环<br><br></p>"
,,,（03）9639 3297,,"Shop 21, Midcity Arcade, 200 Bourke ST, Melbourne, VIC 3000",Beauty & Skin,6960,蒙丽坦美容屋,（03）9639 3297,"<p class=""details""><br><br></p>"
,,,（03）9421 0311,,"1st FL, 152 Victoria St, Richmond Vic 3121",Beauty & Skin,6961,璧城健康美,（03）9421 0311,"<p class=""details""><br><br></p>"
,,,（03）9897 4011,,"Melbourne, VIC 3000",Beauty & Skin,6968,Color Mix 时尚概念,（03）9897 4011,"<p class=""details"">全Box Hill最平香港发型设计<br><br></p>"
,,,03 9898 0068,,"957 Whltehorse Rd,Box Hill, VIC 3128",Beauty & Skin,7735,名姬美容美体,03 9898 0068,"<p class=""details"">澳洲注册激光导师，具多年丰富经验。<br>
资历、经验、口碑<br>
广告可以复制，效果难以模仿！<br>
3D纳米点阵激光  三维 聚焦 镭射<br><br></p>"
,,,（03）9898 7357,,"943 WHITEHORSE Rd, Box Hill 3128",Beauty & Skin,6965,君豪(JH HAIR CENTRE),（03）9898 7357,"<p class=""details""><br><br></p>"
,,,03 9689 7773 / 0477 477 777,,"shop 7,158 Barkly St,Footscray, VIC 3011",Beauty & Skin,7739,M元素,03 9689 7773 / 0477 477 777,"<p class=""details"">资深发型师为您服务，选用shiseido及Matrix产品。<br>
营业时间：10:00am - 7:00pm<br><br></p>"
王小姐,,,0478 181 396,,"No.81 Blake St,Reservoir, VIC 3073",Beauty & Skin,7775,专业补发中心,0478 181 396,"<p class=""details"">本补发中心引进最新韩国技术，专业从事补发、给手术疤痕、头顶稀疏、半秃、全秃、化疗和爱美人士百变法式带来福音。自然舒适、打理方便。犹如真发再生，缺多少补多少，不怕风吹雨淋，可洗、吹、烫、染和自己打理，深受广大男女患者喜爱。<br><br></p>"
王,,,03 9898 8636,,"Melbourne, VIC 3000",Beauty & Skin,7785,健颐轩养生会所,03 9898 8636,"<p class=""details"">美容经典项目：<br>
1、面部基础护理<br>
2、深层补水护理<br>
3、皮肤脱敏紧急护理<br>
4、面部痤疮治疗<br>
5、去除痤疮疤痕<br>
6、高档纯氧嫩肤<br>
7、韩国电波拉皮面部提升<br>
8、面部刮痧<br>
排毒：<br>
1、藏药蒸汽<br>
2、经络排毒手法<br>
3、拔火罐，刮痧<br>
4、减肥热瑜伽<br>
5、形体训练<br><br></p>"
,,,03 9543 6688,,"362 Clayton Rd,Clayton, VIC 3168",Beauty & Skin,7803,名媛专业整体美,03 9543 6688,"<p class=""details"">全墨市唯一享誉国际专业美容文凭。<br>
美容专业课程：教学认真灵活，先进科技器材，课程全部符合国际标准，学员结业后有利创业，辅导毕业学员创业策划经营。<br>
让拥有超过二十多年美容经验的美容专家，以最杰出的各项专业护理，亲自为您服务，效果完美，保证安全，绝无副作用。<br><br></p>"
,info@thebeautydoctor.com.au,,03 9939 3886,,"Shop G37 Centro Box Hill North Market St,Box Hill, VIC 3128",Beauty & Skin,7804,THE BEAUTY DOCTOR贵族医学美容,03 9939 3886,"<p class=""details"">独家代理最新3D飞梭镭射。<br>
1、1550nm激光精准直达真皮层，及时监控皮肤疗程范围，安全可靠。<br>
2、有效解决面部下垂松弛问题，效果媲美传统拉皮手术。<br>
3、点走各种色斑，抚平皱纹、色素沉淀疤、凹凸坑、暗疮印、疤痕、妊娠纹。<br>
4、无创性治疗、不开刀、不出血、不结痂、无疤痕、无辐射、无副作用。<br>
5、无需手术疗程，无需复原。1个疗程可维持5-7年，可重复治疗。<br>
6、疗程只需30分钟，疗程几乎无BOWN TIME，完全不影响日常生活。<br>
合约保证，无效退款。<br><br></p>"
,,,03 9830 4109 / 0425 229 121,,"465 Whitehorse Rd, Balwyn, VIC 3103",Beauty & Skin,7824,Hair&Beauty,03 9830 4109 / 0425 229 121,"<p class=""details"">剪发、美甲、刮痧<br>
价格优惠  营业时间：周一至周六9:00am - 5:00pm  6:00pm后请预约<br><br></p>"
